ts,decision,label,buy_prob,alpha,tradeable,is_flat,ticks,neutral_prob,aux_label_short,atr_1t,cvd_divergence,ema_21,ema_50,ema_8,last_price,last_zscore,mean_drift_pct,micro_imbalance,micro_slope,rv_10,struct_fvg_down_present,struct_fvg_up_present,struct_ob_bear_present,struct_ob_bull_present,struct_pivot_swipe_down,struct_pivot_swipe_up,ta_bb_bw,ta_bb_pctb,ta_macd_hist,ta_rsi14,tod_cos,tod_sin,vwap_reversion_flag,wick_extreme_down,wick_extreme_up
2025-10-29 07:15:00,TRAINLOG,BUY,0.5,0.0,True,False,0,,,14.453543526785975,0.0,26044.126716731615,26024.51140986836,26055.781929418983,26064.0,0.0,9.659600843741068e-05,0.0,0.0,0.00032100535348455805,0.0,0.0,0.0,0.0,0.0,0.0,0.002019342350438741,0.8891839796132902,0.4986935049888892,61.4552605703052,-0.2798290140309919,0.9600498543859287,0.0,0.0,0.0
2025-10-29 07:20:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,14.664313616071533,0.0,26046.751560665103,26026.412923206855,26059.608167325878,26073.0,0.0,0.00014802422284676542,0.0,0.0,0.0003154871876121793,0.0,0.0,0.0,0.0,0.0,1.0,0.0022074880521955093,0.9776484622187656,1.0279611509232573,66.69776119403053,-0.30070579950427295,0.9537169507482269,0.0,0.0,0.0
2025-10-29 07:25:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,14.52142857142878,0.0,26049.810509695548,26028.530063473256,26064.228574586792,26080.4,0.0,0.0001773663399126324,0.0,0.0,0.00031309837286424864,0.0,1.0,0.0,0.0,0.0,0.0,0.0024632455602838148,1.0083609768008674,1.670935986503988,67.63372620127063,-0.3214394653031616,0.9469301294951057,0.0,0.0,0.0
2025-10-29 07:30:00,TRAINLOG,SELL,0.5,0.0,True,False,0,,,14.14642857142878,0.0,26051.80046335959,26030.22300216058,26065.888891345283,26071.7,0.0,0.00010021940078427382,0.0,0.0,0.00033376477296634925,0.0,0.0,0.0,0.0,0.0,0.0,0.002416879448859036,0.8407702853071821,1.3202016937622787,59.963931469793785,-0.3420201433256687,0.9396926207859084,0.0,0.0,0.0
2025-10-29 07:35:00,TRAINLOG,SELL,0.5,0.0,True,False,0,,,13.54285714285704,0.0,26053.80496669053,26031.93386482095,26067.658026601886,26073.85,0.0,6.220087814027276e-05,0.0,0.0,0.0003112064188573038,0.0,0.0,0.0,0.0,0.0,0.0,0.0021963667123433895,0.8610476789996029,1.0544284876328263,67.10654936461461,-0.3624380382837014,0.9320078692827986,0.0,0.0,0.0
2025-10-29 07:40:00,TRAINLOG,BUY,0.5,0.0,True,False,0,,,14.324999999999948,0.0,26054.249969718665,26032.98351718091,26065.667354023688,26058.7,0.0,1.5225854986578024e-05,0.0,0.0,0.0003647039148275592,0.0,0.0,0.0,0.0,0.0,0.0,0.0021121280476256218,0.5790930521123093,-0.25060932460288043,60.72534276868684,-0.3826834323650897,0.9238795325112867,0.0,0.0,0.0
2025-10-29 07:45:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,15.121428571428623,0.0,26056.336336107877,26034.717496899306,26068.23016424065,26077.2,0.0,7.067522891724964e-05,0.0,0.0,0.0004197980795575634,0.0,0.0,0.0,0.0,0.0,0.0,0.0021858334953361717,0.8691985138600307,0.0094097573557832,66.37471439451693,-0.40274668985873713,0.9153114791194472,0.0,0.0,0.0
2025-10-29 07:50:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,14.485658482143013,0.0,26058.510305552616,26036.503085256194,26070.901238853836,26080.25,0.0,0.00011710042090020689,0.0,0.0,0.00039600472404438997,0.0,0.0,0.0,0.0,0.0,1.0,0.0022196455644941837,0.879061323284532,0.25074119774161474,64.09109394062719,-0.42261826174069933,0.90630778703665,0.0,0.0,0.0
2025-10-29 07:55:00,TRAINLOG,SELL,0.5,0.0,True,False,0,,,13.878543526785766,0.0,26060.70482322965,26038.312768187323,26073.512074664097,26082.65,0.0,6.660931552850968e-05,0.0,0.0,0.0003623660849315151,0.0,0.0,0.0,0.0,0.0,1.0,0.0022781268200420977,0.8750703884592708,0.4256556221541423,61.03265666372506,-0.44228869021900113,0.8968727415326884,0.0,0.0,0.0
2025-10-29 08:00:00,TRAINLOG,FLAT,0.5,0.0,True,True,0,,,13.971400669642858,0.0,26062.39983929968,26039.922071395664,26074.80939140541,26079.35,1.397349656866521,8.599215454196951e-05,0.0,0.0,0.0003459620172062823,0.0,0.0,0.0,0.0,0.0,0.0,0.0023289376804957527,0.7879903838338179,0.1850410054806737,60.81794195250624,-0.46174861323503374,0.8870108331782218,0.0,0.0,0.0
