timestamp,open,high,low,close,volume
2024-03-06 03:46:00,22300.7,22315.4,22297.85,22315.4,0.0
2024-03-06 03:47:00,22316.7,22321.15,22298.85,22299.3,0.0
2024-03-06 03:48:00,22298.3,22304.0,22294.1,22300.8,0.0
2024-03-06 03:49:00,22299.4,22305.65,22296.9,22302.9,0.0
2024-03-06 03:50:00,22302.65,22322.2,22298.15,22322.2,0.0
2024-03-06 03:51:00,22321.15,22327.0,22316.55,22326.0,0.0
2024-03-06 03:52:00,22325.25,22325.65,22315.9,22318.9,0.0
2024-03-06 03:53:00,22318.6,22325.65,22313.85,22325.3,0.0
2024-03-06 03:54:00,22329.95,22330.3,22323.75,22325.15,0.0
2024-03-06 03:55:00,22324.65,22333.35,22324.65,22331.2,0.0
2024-03-06 03:56:00,22329.75,22330.6,22321.8,22327.65,0.0
2024-03-06 03:57:00,22327.8,22336.5,22326.45,22334.15,0.0
2024-03-06 03:58:00,22335.55,22338.85,22332.65,22337.15,0.0
2024-03-06 03:59:00,22336.7,22341.2,22327.65,22327.65,0.0
2024-03-06 04:00:00,22328.25,22335.7,22327.75,22330.8,0.0
2024-03-06 04:01:00,22331.75,22331.75,22311.6,22319.9,0.0
2024-03-06 04:02:00,22320.1,22320.1,22311.75,22313.1,0.0
2024-03-06 04:03:00,22312.6,22315.1,22294.55,22296.1,0.0
2024-03-06 04:04:00,22294.9,22325.7,22290.1,22324.15,0.0
2024-03-06 04:05:00,22324.0,22325.05,22304.75,22305.45,0.0
2024-03-06 04:06:00,22304.8,22304.8,22292.85,22296.45,0.0
2024-03-06 04:07:00,22295.05,22306.95,22294.0,22306.15,0.0
2024-03-06 04:08:00,22304.9,22316.3,22302.65,22306.95,0.0
2024-03-06 04:09:00,22308.55,22317.7,22303.1,22314.35,0.0
2024-03-06 04:10:00,22318.0,22318.0,22308.6,22308.6,0.0
2024-03-06 04:11:00,22307.8,22330.6,22305.25,22328.1,0.0
2024-03-06 04:12:00,22328.8,22347.2,22328.25,22347.2,0.0
2024-03-06 04:13:00,22348.2,22348.2,22338.25,22345.5,0.0
2024-03-06 04:14:00,22345.1,22365.3,22342.6,22363.9,0.0
2024-03-06 04:15:00,22365.05,22367.8,22349.85,22350.75,0.0
2024-03-06 04:16:00,22349.7,22355.65,22349.7,22351.75,0.0
2024-03-06 04:17:00,22351.0,22351.85,22346.1,22348.65,0.0
2024-03-06 04:18:00,22349.4,22350.45,22337.0,22342.4,0.0
2024-03-06 04:19:00,22343.45,22343.45,22332.35,22332.35,0.0
2024-03-06 04:20:00,22333.1,22336.1,22324.5,22336.1,0.0
2024-03-06 04:21:00,22335.85,22350.25,22330.75,22349.65,0.0
2024-03-06 04:22:00,22350.1,22350.95,22332.55,22332.55,0.0
2024-03-06 04:23:00,22332.1,22333.8,22318.55,22325.65,0.0
2024-03-06 04:24:00,22326.4,22328.8,22310.0,22310.1,0.0
2024-03-06 04:25:00,22310.0,22319.8,22303.7,22314.9,0.0
2024-03-06 04:26:00,22314.7,22317.95,22302.4,22309.0,0.0
2024-03-06 04:27:00,22309.65,22314.5,22301.65,22301.65,0.0
2024-03-06 04:28:00,22300.7,22300.7,22290.3,22290.3,0.0
2024-03-06 04:29:00,22290.05,22294.9,22281.0,22282.25,0.0
2024-03-06 04:30:00,22281.75,22281.75,22262.55,22271.05,0.0
2024-03-06 04:31:00,22270.75,22270.75,22253.7,22255.95,0.0
2024-03-06 04:32:00,22255.5,22270.65,22251.65,22267.55,0.0
2024-03-06 04:33:00,22267.95,22281.4,22260.4,22262.35,0.0
2024-03-06 04:34:00,22263.45,22276.55,22261.85,22275.65,0.0
2024-03-06 04:35:00,22276.8,22277.4,22260.25,22261.7,0.0
2024-03-06 04:36:00,22259.25,22265.75,22257.25,22261.65,0.0
2024-03-06 04:37:00,22261.5,22277.8,22260.6,22277.8,0.0
2024-03-06 04:38:00,22277.65,22301.1,22277.65,22300.75,0.0
2024-03-06 04:39:00,22300.45,22315.55,22294.75,22294.9,0.0
2024-03-06 04:40:00,22294.65,22299.5,22293.2,22294.35,0.0
2024-03-06 04:41:00,22294.7,22313.95,22294.7,22310.8,0.0
2024-03-06 04:42:00,22310.15,22310.15,22300.05,22304.65,0.0
2024-03-06 04:43:00,22303.55,22312.55,22301.7,22312.55,0.0
2024-03-06 04:44:00,22312.75,22324.2,22311.4,22315.0,0.0
